POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1659.64,3929.97,4906.53,489.77,269.37,-128.75,-3746.49,-31531.05,1498.69,19296.75,-5043.59,103.99,0.0,-3355.57,-4939.61,-8295.18
11,1743.7,4032.0,4937.52,495.01,265.87,-150.25,-3682.94,-31056.37,1444.19,19217.24,-5391.81,106.87,0.0,-2754.03,-5284.93,-8038.96
21,1693.87,4092.59,4921.93,497.5,249.07,-167.82,-3680.64,-31013.35,1433.23,19181.63,-5466.57,109.98,0.0,-2792.0,-5356.59,-8148.59
31,1708.39,3991.53,4888.86,483.81,254.58,-161.08,-3700.84,-30720.0,1452.79,19284.86,-5716.42,109.33,0.0,-2517.11,-5607.1,-8124.2
41,1673.36,4039.84,4909.36,481.92,275.52,-168.33,-3723.66,-30701.39,1452.43,19153.33,-5662.47,107.27,0.0,-2607.62,-5555.2,-8162.83
51,1678.67,3999.09,4883.21,485.32,280.26,-175.92,-3698.4,-30656.37,1439.04,19082.59,-5709.55,108.65,0.0,-2682.52,-5600.9,-8283.42
61,1680.47,4030.98,4858.96,482.4,248.02,-161.59,-3741.95,-30752.88,1464.22,19208.93,-5652.71,106.88,0.0,-2682.44,-5545.82,-8228.27
71,1718.46,4062.94,4882.49,484.41,240.44,-175.15,-3702.38,-30777.76,1435.78,19088.01,-5534.91,106.97,0.0,-2742.75,-5427.95,-8170.7
81,1775.51,4059.35,4873.97,481.19,270.89,-163.54,-3659.89,-30728.94,1455.61,19112.92,-5697.08,109.0,0.0,-2522.94,-5588.08,-8111.03
91,1728.29,4038.48,4873.9,486.61,256.85,-157.69,-3698.95,-30429.13,1449.11,19144.74,-5909.98,108.96,0.0,-2307.8,-5801.02,-8108.82
101,1714.99,4117.05,4852.09,490.88,241.35,-157.54,-3662.04,-30551.44,1433.31,19145.75,-5809.29,110.59,0.0,-2375.59,-5698.7,-8074.29
111,1700.38,4044.3,4847.05,478.09,259.34,-180.87,-3680.05,-30565.2,1452.05,19142.03,-5795.86,110.31,0.0,-2502.88,-5685.54,-8188.42
121,1772.16,4055.2,4858.36,488.99,269.15,-143.58,-3716.97,-30637.83,1421.15,19132.72,-5693.58,109.79,0.0,-2500.64,-5583.8,-8084.44
131,1664.05,4033.25,4828.65,480.85,251.09,-162.46,-3684.08,-30582.46,1463.32,19150.76,-5803.13,111.23,0.0,-2557.03,-5691.9,-8248.94
141,1723.73,4093.95,4852.23,496.25,254.88,-133.12,-3653.85,-30550.77,1423.61,19068.36,-5813.61,111.24,0.0,-2424.72,-5702.37,-8127.09
151,1780.71,4016.72,4860.9,479.65,264.56,-159.83,-3621.0,-30637.09,1413.46,19187.34,-5782.34,112.31,0.0,-2414.58,-5670.03,-8084.61
161,1730.65,4060.71,4888.29,495.47,264.96,-164.82,-3676.43,-30536.88,1433.89,19105.93,-5770.23,110.78,0.0,-2398.23,-5659.45,-8057.69
171,1704.31,4066.18,4881.71,480.88,264.97,-175.38,-3676.74,-30579.98,1401.71,19043.86,-5702.51,112.56,0.0,-2588.49,-5589.94,-8178.43
181,1682.5,4002.31,4865.57,477.34,248.32,-150.27,-3592.27,-30686.51,1441.8,19218.61,-5798.78,111.62,0.0,-2492.6,-5687.16,-8179.77
191,1677.37,4002.92,4852.92,476.28,256.61,-160.69,-3679.98,-30590.36,1418.81,19215.85,-5853.16,111.19,0.0,-2530.27,-5741.97,-8272.23
201,1724.93,3959.98,4880.81,470.82,259.94,-171.11,-3706.58,-30405.55,1428.77,19117.09,-5887.09,112.28,0.0,-2440.89,-5774.81,-8215.7
211,1726.9,4119.61,4852.29,491.77,233.16,-150.92,-3685.75,-30546.52,1429.42,19004.6,-5754.43,112.35,0.0,-2525.44,-5642.09,-8167.53
221,1699.16,4022.47,4857.4,487.25,246.14,-168.94,-3683.65,-30512.17,1425.28,19147.8,-5850.4,112.3,0.0,-2479.24,-5738.1,-8217.34
231,1687.44,4052.25,4849.04,501.84,256.35,-174.35,-3646.46,-30710.57,1462.94,19201.72,-5743.39,113.14,0.0,-2519.8,-5630.25,-8150.05
241,1712.11,3984.95,4905.27,488.3,255.66,-170.44,-3657.37,-30659.25,1435.25,19107.4,-5716.01,112.78,0.0,-2598.12,-5603.23,-8201.36
251,1656.76,3963.32,4899.99,469.84,254.46,-150.13,-3677.02,-30588.09,1464.11,19321.45,-5865.52,110.78,0.0,-2385.31,-5754.74,-8140.06
261,1713.47,4015.75,4854.47,480.71,255.12,-136.62,-3720.41,-30778.94,1419.83,19180.53,-5640.09,109.77,0.0,-2716.1,-5530.31,-8246.41
271,1697.92,3974.61,4871.72,487.59,268.68,-188.54,-3600.33,-30811.81,1444.89,19133.66,-5612.99,110.81,0.0,-2721.63,-5502.18,-8223.81
281,1700.98,4070.85,4852.96,482.33,267.29,-174.31,-3676.32,-30920.28,1446.47,19265.36,-5572.37,109.76,0.0,-2684.67,-5462.62,-8147.29
291,1673.44,4083.97,4865.91,486.75,250.08,-179.93,-3647.58,-30711.79,1440.33,19106.86,-5629.63,109.56,0.0,-2631.97,-5520.08,-8152.04
301,1672.98,4080.21,4872.39,472.34,267.26,-162.97,-3680.22,-30887.95,1462.34,19130.23,-5488.25,108.59,0.0,-2773.38,-5379.66,-8153.04
311,1651.68,4037.55,4893.53,494.23,255.34,-168.09,-3683.03,-30582.22,1436.02,19103.57,-5702.92,108.65,0.0,-2561.43,-5594.27,-8155.71
321,1728.11,4021.71,4863.14,489.06,247.55,-172.08,-3730.41,-30698.12,1424.5,19123.04,-5620.36,109.48,0.0,-2703.49,-5510.88,-8214.37
331,1643.05,4059.76,4839.02,492.97,270.7,-176.59,-3652.36,-30754.68,1466.07,19194.25,-5662.57,109.54,0.0,-2617.8,-5553.03,-8170.84
341,1734.77,4037.44,4840.62,505.68,252.1,-157.77,-3692.55,-30682.55,1439.45,19103.29,-5676.6,109.95,0.0,-2619.53,-5566.65,-8186.17
351,1650.27,3992.13,4844.55,465.07,244.27,-158.74,-3689.88,-30665.03,1463.75,19129.58,-5634.09,109.17,0.0,-2724.03,-5524.92,-8248.95
361,1687.25,4040.74,4810.85,497.02,275.14,-149.0,-3643.33,-30619.0,1450.73,19153.09,-5785.6,111.0,0.0,-2496.5,-5674.6,-8171.1
371,1759.76,4092.09,4822.14,494.22,258.76,-179.1,-3688.9,-30623.42,1417.39,19026.09,-5712.64,109.11,0.0,-2620.98,-5603.53,-8224.51
381,1680.55,4008.23,4845.0,478.1,255.52,-156.97,-3629.62,-30859.22,1431.83,19254.62,-5656.74,113.43,0.0,-2691.95,-5543.31,-8235.27
391,1693.06,4022.22,4900.59,477.64,270.8,-159.59,-3673.41,-30777.5,1458.21,19202.07,-5633.53,108.23,0.0,-2585.92,-5525.3,-8111.22
401,1754.53,4063.0,4846.86,491.75,253.77,-150.28,-3645.18,-30492.97,1428.5,19111.49,-5859.43,114.29,0.0,-2338.54,-5745.15,-8083.68
411,1668.96,4094.65,4817.46,497.57,255.61,-149.3,-3633.9,-30462.15,1457.23,19161.29,-5872.18,113.31,0.0,-2292.58,-5758.88,-8051.45
421,1692.67,4014.9,4847.31,479.02,259.3,-156.63,-3542.34,-30772.37,1449.97,19209.71,-5733.62,114.22,0.0,-2518.46,-5619.4,-8137.86
431,1687.32,4058.8,4859.8,485.85,261.1,-135.24,-3720.83,-30651.18,1390.24,19185.3,-5734.25,110.14,0.0,-2578.85,-5624.1,-8202.95
441,1676.29,3982.9,4851.81,482.01,269.57,-177.95,-3621.89,-30838.07,1460.47,19237.52,-5636.4,113.46,0.0,-2677.35,-5522.94,-8200.28
451,1680.02,4001.82,4842.53,472.5,261.16,-155.1,-3700.36,-30783.75,1431.38,19139.53,-5585.26,109.04,0.0,-2810.28,-5476.22,-8286.5
461,1743.89,4115.99,4874.15,492.96,286.33,-156.49,-3674.2,-30781.95,1447.43,19000.43,-5555.03,109.38,0.0,-2651.45,-5445.65,-8097.1
471,1712.8,4034.57,4854.05,476.28,259.74,-172.04,-3655.35,-30704.84,1433.43,18992.33,-5592.59,109.24,0.0,-2769.04,-5483.35,-8252.38
481,1699.64,3995.19,4809.51,492.5,251.34,-181.68,-3691.9,-30661.39,1449.2,19145.57,-5634.21,108.19,0.0,-2692.02,-5526.03,-8218.04
491,1689.18,4060.08,4866.22,476.38,270.79,-150.33,-3669.83,-30595.42,1415.64,19022.04,-5614.74,108.24,0.0,-2615.25,-5506.5,-8121.75
501,1711.99,4013.73,4873.49,486.92,245.68,-167.16,-3668.48,-30330.29,1440.72,19049.12,-5902.57,110.34,0.0,-2344.28,-5792.23,-8136.51
511,1688.31,4033.49,4901.56,492.77,254.95,-185.97,-3672.09,-30537.16,1435.23,19075.01,-5728.64,110.85,0.0,-2513.89,-5617.79,-8131.68
521,1711.68,3986.93,4815.11,471.52,267.64,-131.48,-3682.53,-30529.12,1414.41,19135.88,-5826.18,111.5,0.0,-2539.98,-5714.68,-8254.66
531,1705.43,4026.18,4851.29,475.36,272.84,-159.41,-3636.31,-30720.73,1457.28,19120.37,-5689.47,111.0,0.0,-2607.69,-5578.46,-8186.15
541,1750.49,4020.15,4805.21,480.48,260.03,-178.95,-3677.8,-30643.42,1445.51,19097.65,-5759.83,111.48,0.0,-2640.64,-5648.35,-8288.99
