POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1652.63,3881.96,4932.3,492.6,253.09,-128.28,-3686.37,-31703.14,1467.82,19367.93,-4912.34,102.4,0.0,-3469.45,-4809.94,-8279.4
101,1647.38,3986.93,4890.71,482.01,254.3,-199.09,-3667.83,-30815.4,1452.08,19459.31,-5738.32,111.12,0.0,-2509.59,-5627.19,-8136.79
201,1622.8,4099.2,4841.91,473.14,258.39,-170.35,-3590.77,-30611.08,1397.34,19457.17,-6023.87,118.09,0.0,-2222.25,-5905.78,-8128.04
301,1690.64,3961.6,4847.59,472.31,250.47,-164.96,-3630.3,-30682.3,1419.45,19432.46,-5889.95,117.76,0.0,-2403.04,-5772.19,-8175.23
401,1742.25,4023.8,4858.87,486.86,252.98,-178.07,-3640.88,-30443.27,1388.58,19381.71,-5975.63,112.33,0.0,-2127.16,-5863.3,-7990.47
501,1705.22,4001.19,4884.53,489.56,262.49,-181.82,-3625.93,-30439.55,1427.77,19261.68,-5934.1,113.43,0.0,-2214.85,-5820.67,-8035.52
601,1637.18,4048.8,4882.74,495.22,264.87,-191.81,-3631.93,-30478.0,1449.17,19398.72,-5903.11,113.26,0.0,-2125.04,-5789.85,-7914.9
701,1627.45,4053.22,4847.02,479.58,255.18,-160.32,-3592.77,-30701.25,1451.79,19359.32,-5767.95,114.08,0.0,-2380.78,-5653.87,-8034.65
801,1759.66,3997.83,4832.4,493.06,250.3,-181.84,-3589.77,-30580.24,1432.58,19377.6,-5898.02,116.72,0.0,-2208.43,-5781.3,-7989.72
901,1731.54,4061.53,4898.43,490.17,279.32,-192.68,-3622.73,-30546.84,1405.96,19327.69,-5914.42,116.12,0.0,-2167.61,-5798.3,-7965.91
1001,1679.82,4029.39,4868.72,493.94,248.47,-161.6,-3639.31,-30724.92,1434.13,19480.93,-5850.02,115.79,0.0,-2290.43,-5734.23,-8024.66
