POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1642.67,3846.76,4906.76,454.81,248.54,-136.87,-3736.46,-31579.05,1491.6,19353.57,-4943.36,102.51,0.0,-3507.65,-4840.85,-8348.5
101,1722.99,4053.56,4875.08,486.42,268.06,-176.14,-3703.73,-30686.04,1412.11,19214.76,-5681.88,108.99,0.0,-2532.92,-5572.89,-8105.81
201,1709.37,4060.25,4890.94,486.21,255.04,-180.98,-3618.13,-30656.33,1423.53,19250.65,-5779.63,113.02,0.0,-2379.46,-5666.61,-8046.07
301,1679.05,4007.72,4839.91,493.5,235.91,-146.72,-3614.84,-30595.62,1429.77,19181.32,-5772.58,116.8,0.0,-2490.0,-5655.78,-8145.78
401,1721.96,3999.88,4827.54,477.36,275.22,-164.36,-3632.06,-30713.22,1424.87,19192.46,-5723.14,115.74,0.0,-2590.35,-5607.39,-8197.74
501,1729.73,4040.68,4885.99,489.16,263.8,-163.92,-3624.75,-30497.47,1444.73,19043.84,-5807.09,116.1,0.0,-2388.2,-5690.99,-8079.19
601,1737.09,4016.81,4876.53,488.26,258.2,-136.72,-3574.14,-30344.38,1447.68,18985.64,-5844.92,116.22,0.0,-2245.04,-5728.7,-7973.74
701,1742.76,4033.28,4863.47,489.06,231.38,-185.3,-3595.98,-30353.98,1410.59,19134.89,-5971.4,117.04,0.0,-2229.83,-5854.36,-8084.19
801,1651.47,3933.04,4852.31,485.17,263.38,-144.98,-3588.33,-30820.83,1458.52,19235.31,-5637.48,115.59,0.0,-2674.94,-5521.89,-8196.83
901,1739.52,3936.83,4878.08,472.48,256.75,-181.58,-3600.84,-30615.1,1436.33,19172.36,-5753.19,114.65,0.0,-2505.18,-5638.55,-8143.72
1001,1722.77,3995.64,4828.28,485.53,247.2,-195.41,-3640.29,-30580.43,1438.9,19093.43,-5722.94,109.88,0.0,-2604.39,-5613.06,-8217.45
1101,1764.57,3960.54,4900.18,485.04,251.21,-183.82,-3657.52,-30762.44,1442.29,19155.61,-5565.33,115.97,0.0,-2644.35,-5449.36,-8093.7
1201,1657.88,4056.5,4801.12,480.9,255.32,-188.49,-3558.82,-30835.79,1431.64,19267.8,-5600.22,116.02,0.0,-2631.95,-5484.21,-8116.15
1301,1688.66,4024.19,4888.83,492.97,267.12,-174.04,-3579.19,-30838.93,1472.79,19252.89,-5675.12,116.71,0.0,-2504.72,-5558.41,-8063.13
1401,1728.63,3976.43,4871.2,479.72,262.98,-197.27,-3565.96,-30689.83,1421.39,19058.09,-5681.74,118.99,0.0,-2654.62,-5562.74,-8217.37
1501,1670.5,3984.74,4879.92,486.53,269.26,-174.76,-3579.21,-30815.18,1462.35,19228.71,-5595.03,116.23,0.0,-2587.14,-5478.8,-8065.94
1601,1690.96,3946.83,4817.47,484.77,260.13,-153.66,-3637.63,-30758.57,1442.29,19277.39,-5675.13,115.69,0.0,-2630.02,-5559.45,-8189.46
1701,1720.1,4075.68,4845.23,487.94,283.81,-195.91,-3642.83,-30892.09,1410.24,19162.69,-5517.31,110.72,0.0,-2745.15,-5406.59,-8151.74
1801,1705.67,4010.3,4835.55,510.74,262.23,-171.47,-3608.21,-30852.52,1410.14,19191.85,-5581.76,115.31,0.0,-2705.72,-5466.45,-8172.17
1901,1670.28,4033.78,4853.52,482.2,253.1,-173.52,-3565.23,-30942.32,1438.79,19258.0,-5598.71,114.75,0.0,-2691.41,-5483.96,-8175.36
2001,1709.65,3921.91,4802.45,496.49,243.01,-159.58,-3613.96,-30774.74,1443.1,19333.32,-5661.88,112.96,0.0,-2598.34,-5548.92,-8147.26
2101,1667.31,4008.03,4833.03,477.61,254.06,-150.86,-3599.09,-30743.46,1445.62,19158.09,-5610.8,114.66,0.0,-2649.66,-5496.14,-8145.8
2201,1672.82,4004.14,4827.89,477.97,252.84,-186.0,-3634.48,-30588.45,1415.61,19300.86,-5808.97,113.71,0.0,-2456.81,-5695.27,-8152.08
2301,1735.64,3963.92,4809.86,484.44,264.38,-135.66,-3673.34,-30556.92,1462.23,19162.23,-5693.68,110.82,0.0,-2483.22,-5582.86,-8066.08
2401,1725.0,4008.53,4889.87,505.09,246.73,-188.06,-3583.29,-30675.65,1439.51,19173.03,-5655.67,113.54,0.0,-2459.25,-5542.14,-8001.38
2501,1698.57,4064.43,4831.24,483.65,243.79,-143.64,-3643.56,-30502.19,1388.21,19121.4,-5821.89,112.67,0.0,-2458.1,-5709.22,-8167.32
2601,1742.14,4150.03,4857.1,495.55,261.79,-201.78,-3646.58,-30414.81,1382.98,19082.96,-5807.33,115.53,0.0,-2290.61,-5691.8,-7982.41
2701,1690.83,3997.53,4881.45,488.41,250.47,-163.81,-3620.3,-30508.11,1456.04,19149.72,-5916.07,116.87,0.0,-2377.78,-5799.2,-8176.98
2801,1654.08,4007.73,4806.02,470.89,266.73,-176.86,-3556.73,-30433.12,1421.72,19137.13,-5977.26,116.7,0.0,-2402.41,-5860.56,-8262.98
2901,1680.9,4052.79,4802.24,493.09,250.1,-146.98,-3557.22,-30441.66,1425.89,19180.54,-5947.3,116.33,0.0,-2260.3,-5830.97,-8091.27
3001,1662.54,3964.32,4874.32,466.45,259.33,-167.8,-3560.31,-30423.5,1443.11,19170.38,-5982.43,116.31,0.0,-2311.16,-5866.12,-8177.28
