POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1663.56,3860.72,4890.83,471.33,260.83,-128.14,-3736.23,-31607.78,1503.7,19255.02,-4954.43,103.07,0.0,-3566.16,-4851.36,-8417.52
101,1701.57,4025.91,4876.89,483.61,250.82,-189.96,-3676.18,-30611.2,1455.81,19188.74,-5762.91,110.05,0.0,-2493.99,-5652.86,-8146.85
201,1734.5,4037.57,4889.54,476.34,244.34,-189.89,-3630.0,-30557.55,1425.43,19103.66,-5800.68,114.07,0.0,-2466.06,-5686.61,-8152.67
301,1696.52,4021.77,4837.3,478.58,247.56,-159.46,-3659.49,-30680.76,1447.77,19203.04,-5720.07,109.15,0.0,-2567.16,-5610.93,-8178.08
401,1709.54,4007.84,4865.66,490.29,256.27,-176.07,-3668.93,-30642.93,1453.44,19176.83,-5716.87,112.07,0.0,-2528.06,-5604.8,-8132.86
501,1667.6,3985.16,4857.13,472.21,252.68,-163.93,-3674.67,-30702.56,1425.81,19292.74,-5706.84,111.46,0.0,-2587.83,-5595.38,-8183.22
601,1704.95,4019.49,4841.24,479.74,242.4,-191.61,-3630.05,-30735.75,1442.85,19183.84,-5707.45,109.88,0.0,-2642.89,-5597.58,-8240.47
701,1691.46,4075.59,4855.99,497.06,251.2,-185.79,-3659.0,-30592.96,1437.29,19082.2,-5760.87,111.65,0.0,-2546.96,-5649.21,-8196.17
801,1706.13,4037.49,4888.34,489.54,274.08,-166.45,-3702.95,-30478.27,1404.0,19093.77,-5823.11,109.21,0.0,-2454.32,-5713.9,-8168.23
901,1754.33,4085.26,4892.93,499.96,266.39,-148.04,-3703.74,-30347.92,1432.07,19100.41,-5886.13,112.1,0.0,-2168.35,-5774.03,-7942.38
1001,1758.32,4069.61,4866.02,483.88,249.29,-149.28,-3668.62,-30610.53,1438.07,19056.23,-5669.66,109.69,0.0,-2506.99,-5559.96,-8066.95
1101,1796.67,3946.5,4846.75,492.62,267.23,-174.2,-3637.97,-30788.66,1444.76,19149.2,-5699.92,110.31,0.0,-2657.1,-5589.61,-8246.71
1201,1697.75,4100.86,4840.45,484.91,298.19,-181.56,-3696.14,-30535.33,1443.11,19182.54,-5786.59,109.98,0.0,-2365.21,-5676.62,-8041.83
1301,1746.05,3999.92,4847.3,491.13,266.72,-171.52,-3659.31,-30723.17,1406.86,19142.15,-5646.44,109.52,0.0,-2653.88,-5536.92,-8190.79
1401,1677.11,4057.02,4846.08,477.41,261.75,-196.47,-3717.19,-30688.79,1422.97,19060.11,-5537.28,108.5,0.0,-2800.01,-5428.78,-8228.79
