POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1587.2,3895.36,4911.17,480.02,268.98,-125.76,-3733.01,-31565.9,1475.68,19331.07,-5028.23,102.6,0.0,-3475.19,-4925.63,-8400.82
101,1729.56,4013.58,4859.02,490.86,253.77,-124.24,-3677.47,-30728.57,1418.16,19161.82,-5656.56,109.06,0.0,-2603.51,-5547.5,-8151.01
201,1664.34,4037.26,4852.8,485.29,259.68,-146.09,-3681.31,-31029.9,1443.99,19128.98,-5338.05,107.37,0.0,-2984.96,-5230.68,-8215.64
301,1654.02,3992.03,4869.82,478.75,253.43,-169.41,-3677.76,-30892.35,1452.77,19322.36,-5593.42,109.36,0.0,-2716.34,-5484.07,-8200.41
401,1731.85,4083.2,4837.67,478.78,256.17,-161.54,-3672.63,-30581.15,1427.25,19184.09,-5782.41,110.11,0.0,-2416.31,-5672.3,-8088.61
501,1706.52,4019.49,4860.75,488.58,259.24,-184.26,-3652.13,-30723.05,1447.61,19136.87,-5599.12,109.21,0.0,-2640.39,-5489.91,-8130.31
601,1669.23,4153.83,4832.26,484.9,253.2,-181.86,-3689.81,-30462.13,1405.12,19026.11,-5704.05,109.68,0.0,-2509.16,-5594.36,-8103.52
701,1713.79,4062.23,4859.39,487.54,255.56,-172.46,-3652.42,-30296.48,1432.22,18968.91,-5901.7,112.21,0.0,-2341.72,-5789.49,-8131.22
801,1674.02,4043.11,4891.66,495.33,247.47,-166.43,-3655.4,-30746.92,1453.01,19105.95,-5631.36,110.05,0.0,-2658.2,-5521.32,-8179.51
901,1704.72,4001.26,4863.55,480.98,243.77,-137.95,-3645.23,-30712.94,1459.88,19131.36,-5656.57,111.0,0.0,-2610.59,-5545.58,-8156.16
1001,1825.76,4007.79,4869.75,495.28,273.81,-184.0,-3686.51,-30495.52,1424.5,19132.28,-5794.82,111.91,0.0,-2336.87,-5682.91,-8019.77
1101,1708.65,4049.79,4913.75,474.63,247.93,-196.33,-3644.42,-30663.85,1423.77,19039.77,-5588.46,110.38,0.0,-2646.32,-5478.08,-8124.4
1201,1732.8,3946.72,4859.42,482.9,271.59,-161.99,-3638.75,-30897.69,1400.81,19122.71,-5467.67,109.83,0.0,-2881.49,-5357.85,-8239.34
1301,1744.59,4037.42,4848.93,499.7,257.77,-136.22,-3588.77,-30853.07,1445.97,19071.42,-5507.06,110.07,0.0,-2672.25,-5396.98,-8069.23
1401,1701.78,3997.58,4841.06,475.32,232.89,-193.16,-3617.02,-30928.72,1410.58,19101.18,-5435.01,110.42,0.0,-2978.49,-5324.6,-8303.09
1501,1702.47,4106.48,4822.62,505.67,258.9,-143.2,-3627.32,-30839.24,1428.19,19096.9,-5519.65,112.25,0.0,-2688.53,-5407.4,-8095.93
1601,1720.84,4084.04,4847.69,473.34,262.32,-154.02,-3636.59,-30885.14,1408.15,19121.47,-5474.01,109.81,0.0,-2757.91,-5364.2,-8122.11
1701,1668.26,4006.13,4844.25,496.09,248.75,-155.48,-3620.99,-30859.42,1451.72,19106.59,-5532.88,112.05,0.0,-2814.11,-5420.83,-8234.94
1801,1739.75,4078.42,4845.37,492.11,259.25,-147.38,-3652.24,-30813.15,1412.22,19057.87,-5517.84,109.72,0.0,-2727.79,-5408.12,-8135.91
1901,1690.94,4053.85,4850.76,478.38,267.12,-162.77,-3660.98,-30834.16,1429.2,19096.49,-5527.86,109.01,0.0,-2791.17,-5418.85,-8210.02
2001,1691.93,3960.0,4855.95,470.39,259.11,-153.26,-3640.92,-30804.72,1422.73,19156.57,-5578.97,112.21,0.0,-2782.22,-5466.76,-8248.99
2101,1644.51,3937.39,4826.13,484.49,257.5,-154.53,-3683.13,-30648.47,1475.75,19163.46,-5615.23,109.2,0.0,-2696.9,-5506.03,-8202.93
