POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1593.52,3987.05,4919.61,480.21,259.39,-125.97,-3722.89,-31767.86,1483.13,19405.26,-4923.09,102.71,0.0,-3488.54,-4820.38,-8308.92
101,1720.11,4028.6,4888.91,484.24,271.68,-192.76,-3673.27,-30996.46,1440.42,19502.07,-5623.02,109.03,0.0,-2526.46,-5514.0,-8040.46
201,1686.7,4012.75,4890.0,495.86,251.88,-153.93,-3648.66,-30838.24,1470.74,19431.3,-5773.1,112.03,0.0,-2401.6,-5661.07,-8062.67
301,1738.89,4088.06,4820.7,475.22,272.44,-163.81,-3659.07,-30617.51,1418.41,19163.84,-5628.19,107.9,0.0,-2462.83,-5520.29,-7983.12
401,1729.41,4078.25,4852.98,478.29,265.47,-181.05,-3624.98,-30631.41,1478.08,19185.91,-5675.84,110.45,0.0,-2369.06,-5565.38,-7934.44
501,1712.71,3999.97,4823.98,482.51,251.96,-153.89,-3677.99,-30700.63,1460.07,19221.02,-5698.49,108.8,0.0,-2580.29,-5589.69,-8169.98
601,1657.57,4077.16,4860.28,501.33,251.73,-161.14,-3676.87,-30608.11,1464.26,19234.38,-5748.4,109.07,0.0,-2399.42,-5639.33,-8038.75
701,1701.66,4035.33,4817.98,492.22,256.98,-176.48,-3636.79,-30677.79,1434.89,19240.84,-5697.66,108.71,0.0,-2511.15,-5588.94,-8100.1
801,1705.69,4084.42,4867.7,487.07,270.78,-158.92,-3678.23,-30798.1,1414.66,19190.15,-5564.89,108.53,0.0,-2614.8,-5456.36,-8071.16
901,1686.87,3928.08,4887.47,470.31,255.94,-183.54,-3682.2,-30571.4,1416.86,19338.25,-5885.35,109.93,0.0,-2453.37,-5775.42,-8228.8
1001,1717.59,4044.15,4865.69,491.42,271.33,-171.01,-3638.48,-30645.64,1430.61,19219.22,-5772.47,110.64,0.0,-2415.12,-5661.82,-8076.94
