POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1589.27,3989.71,4928.37,474.6,260.55,-145.22,-3716.81,-31532.37,1470.99,19344.03,-5015.18,102.56,0.0,-3336.89,-4912.63,-8249.51
101,1716.29,4007.47,4897.33,496.18,266.03,-132.38,-3573.52,-30931.56,1438.97,19322.94,-5583.91,112.15,0.0,-2492.25,-5471.76,-7964.01
201,1643.21,4093.72,4855.87,494.67,275.5,-155.88,-3644.49,-30793.07,1435.45,19212.47,-5617.48,111.21,0.0,-2582.55,-5506.27,-8088.82
301,1668.5,4054.13,4877.88,493.87,249.51,-150.77,-3643.6,-30902.73,1434.61,19201.64,-5574.26,113.34,0.0,-2716.97,-5460.92,-8177.89
401,1669.56,3957.86,4869.32,478.44,242.74,-176.49,-3613.42,-30735.5,1450.02,19271.59,-5682.65,112.85,0.0,-2585.87,-5569.79,-8155.67
501,1664.34,4014.1,4904.16,490.22,263.4,-174.8,-3627.64,-30850.01,1410.03,19218.34,-5532.08,111.0,0.0,-2687.86,-5421.08,-8108.94
601,1706.39,4009.38,4878.2,487.56,258.89,-145.17,-3641.5,-30858.58,1441.32,19188.85,-5509.81,110.94,0.0,-2674.66,-5398.87,-8073.53
701,1690.14,4053.95,4857.5,490.06,246.25,-164.07,-3622.23,-30747.99,1435.63,19116.29,-5548.86,110.44,0.0,-2644.48,-5438.42,-8082.9
801,1701.78,4055.65,4873.21,484.51,237.56,-168.03,-3613.19,-30904.06,1432.73,19225.6,-5506.64,110.38,0.0,-2674.24,-5396.26,-8070.49
901,1672.59,4021.33,4842.25,503.07,248.06,-178.86,-3586.87,-30862.33,1447.2,19203.22,-5545.64,111.37,0.0,-2690.35,-5434.27,-8124.62
1001,1733.97,4114.74,4879.86,481.53,254.96,-172.61,-3646.89,-30372.32,1428.25,19044.57,-5797.42,112.4,0.0,-2253.94,-5685.02,-7938.97
1101,1651.06,4015.06,4870.38,471.08,248.06,-168.84,-3620.17,-30372.5,1460.94,19019.76,-5834.73,113.03,0.0,-2425.17,-5721.69,-8146.86
1201,1732.03,4066.69,4879.29,500.43,239.75,-192.01,-3603.57,-30647.67,1454.07,19199.94,-5806.66,114.1,0.0,-2371.05,-5692.56,-8063.61
1301,1700.61,4059.52,4844.16,496.91,262.48,-189.02,-3629.4,-30644.83,1433.02,19206.75,-5762.07,113.98,0.0,-2459.8,-5648.09,-8107.89
1401,1694.99,4008.54,4853.85,481.34,253.24,-186.19,-3577.26,-30366.93,1428.9,19105.23,-5980.51,117.09,0.0,-2304.27,-5863.42,-8167.69
1501,1629.95,4059.24,4915.2,479.45,268.57,-194.33,-3636.12,-30534.88,1452.71,19197.75,-5808.1,112.24,0.0,-2362.46,-5695.86,-8058.32
1601,1773.16,4063.3,4851.9,494.69,253.71,-187.54,-3608.36,-30318.83,1410.4,19159.28,-6007.7,113.3,0.0,-2108.3,-5894.4,-8002.7
1701,1678.54,4025.78,4827.47,477.08,277.84,-146.1,-3665.28,-30664.07,1463.34,19315.46,-5807.89,111.86,0.0,-2409.94,-5696.03,-8105.97
1801,1680.23,4003.58,4884.4,478.73,250.11,-209.56,-3631.85,-30677.15,1460.6,19258.39,-5723.17,110.73,0.0,-2502.53,-5612.44,-8114.97
1901,1673.45,4006.9,4866.47,489.2,246.01,-211.5,-3676.19,-30604.58,1436.9,19190.7,-5752.02,111.36,0.0,-2582.64,-5640.67,-8223.31
2001,1670.05,4038.87,4867.37,481.93,256.27,-225.44,-3637.13,-30626.35,1455.01,19326.88,-5810.58,111.1,0.0,-2392.54,-5699.48,-8092.02
2101,1681.88,4028.65,4865.41,478.52,242.88,-181.52,-3652.28,-30650.0,1437.12,19265.58,-5836.35,114.54,0.0,-2483.76,-5721.81,-8205.57
